name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,4,6,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,2,0,06,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2017-04-04,2016,2991235,1610612760,400900537,3,4,53,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Milwaukee Bucks",0,1,0,0.00,,0.00,0.00
"JaVale McGee","Golden State Warriors",2017-04-04,2016,3452,1610612744,400900540,1,4,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Justin Holiday","New York Knicks",2017-04-04,2016,2284101,1610612752,400900538,4,9,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Noah Vonleh","Portland Trail Blazers",2017-04-06,2016,3078284,1610612757,400900556,1,11,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Shabazz Muhammad","Minnesota Timberwolves",2017-04-04,2016,2993875,1610612750,400900540,2,8,31,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Brandan Wright","Memphis Grizzlies",2017-04-04,2016,3242,1610612763,400900539,2,1,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,2,3,28,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Aaron Gordon","Orlando Magic",2017-04-06,2016,3064290,1610612753,400900552,3,1,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Giannis Antetokounmpo","Milwaukee Bucks",2017-04-06,2016,3032977,1610612749,400900553,1,0,54,1,"Alley Oop Dunk Shot","2PT Field Goal",2,"Indiana Pacers",-27,11,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2017-04-04,2016,2991282,1610612758,400900541,3,9,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,1,11,34,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Dwight Howard","Atlanta Hawks",2017-04-06,2016,2384,1610612737,400900555,3,6,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Brandan Wright","Memphis Grizzlies",2017-04-04,2016,3242,1610612763,400900539,4,6,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,2,5,51,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Nerlens Noel","Dallas Mavericks",2017-04-04,2016,2991280,1610612742,400900541,3,5,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"AJ Hammons","Dallas Mavericks",2017-04-04,2016,2991178,1610612742,400900541,3,1,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Anthony Davis","New Orleans Pelicans",2017-04-04,2016,6583,1610612740,400900536,2,0,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
