name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Tyson Chandler","Phoenix Suns",2016-10-30,2016,984,1610612756,400899486,1,4,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Aaron Gordon","Orlando Magic",2016-10-29,2016,3064290,1610612753,400899479,2,3,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Tristan Thompson","Cleveland Cavaliers",2016-10-29,2016,6474,1610612739,400899479,1,2,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-26,2016,2991235,1610612760,400899389,3,5,37,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",0,1,0,0.00,,0.00,0.00
"Richaun Holmes","Philadelphia 76ers",2016-10-29,2016,2993370,1610612755,400899476,2,1,47,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Jimmy Butler","Chicago Bulls",2016-10-29,2016,6430,1610612741,400899480,1,0,42,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-26,2016,2991235,1610612760,400899389,2,4,57,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Philadelphia 76ers",-2,2,0,0.00,,0.00,0.00
"Hassan Whiteside","Miami Heat",2016-10-30,2016,4262,1610612748,400899487,3,2,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"San Antonio Spurs",0,1,0,0.00,,0.00,0.00
"Willie Reed","Miami Heat",2016-10-26,2016,2326015,1610612748,400899378,4,11,00,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Steven Adams","Oklahoma City Thunder",2016-10-30,2016,2991235,1610612760,400899490,2,7,31,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Carmelo Anthony","New York Knicks",2016-10-25,2016,1975,1610612752,400899375,1,4,05,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Clint Capela","Houston Rockets",2016-10-26,2016,3102529,1610612745,400899415,1,3,54,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Lakers",0,1,0,0.00,,0.00,0.00
"Richaun Holmes","Philadelphia 76ers",2016-10-29,2016,2993370,1610612755,400899476,4,1,26,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",6,2,0,0.00,,0.00,0.00
"Mason Plumlee","Portland Trail Blazers",2016-10-29,2016,2488653,1610612757,400899483,2,2,48,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Willie CauleyStein","Sacramento Kings",2016-10-26,2016,2991282,1610612758,400899412,2,10,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Phoenix Suns",0,1,0,0.00,,0.00,0.00
"Willie Reed","Miami Heat",2016-10-26,2016,2326015,1610612748,400899378,4,9,04,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Orlando Magic",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2016-10-26,2016,3913176,1610612747,400899415,2,9,00,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Houston Rockets",5,16,0,0.00,,0.00,0.00
"Gerald Henderson","Philadelphia 76ers",2016-10-26,2016,3993,1610612755,400899389,1,11,14,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
